headline,source,datetime,headline,sentiment,score,date
"Antitrust Cops Say BlackRock, Other Fund Giants May Have Hurt Coal Competition",Yahoo,2025-05-22 20:36:00,"Antitrust Cops Say BlackRock, Other Fund Giants May Have Hurt Coal Competition",negative,0.956550121307373,2025-05-27
Ryan Reynolds’ MNTN Shares Rise 65% After $187 Million IPO,Yahoo,2025-05-22 20:10:15,Ryan Reynolds’ MNTN Shares Rise 65% After $187 Million IPO,positive,0.9278013110160828,2025-05-27
"Lido Advisors Sells Stake to HPS, an Investment Manager Set to Be Acquired by BlackRock",Yahoo,2025-05-22 20:01:00,"Lido Advisors Sells Stake to HPS, an Investment Manager Set to Be Acquired by BlackRock",neutral,0.9373970627784729,2025-05-27
"Update: FTC, DOJ Back Antitrust Case Against BlackRock, Vanguard, State Street",Yahoo,2025-05-22 17:17:11,"Update: FTC, DOJ Back Antitrust Case Against BlackRock, Vanguard, State Street",neutral,0.8738048672676086,2025-05-27
Why Is MSCI (MSCI) Up 5% Since Last Earnings Report?,Yahoo,2025-05-22 15:30:22,Why Is MSCI (MSCI) Up 5% Since Last Earnings Report?,positive,0.708311140537262,2025-05-27
US supports Republican states' argument in BlackRock climate case,Yahoo,2025-05-22 14:30:14,US supports Republican states' argument in BlackRock climate case,neutral,0.7815095782279968,2025-05-27
Exclusive-US expected to support Republican states' argument in BlackRock climate case,Finnhub,2025-05-22 10:31:07,Exclusive-US expected to support Republican states' argument in BlackRock climate case,positive,0.6957906484603882,2025-05-27
US expected to support Republican states' argument in BlackRock climate case,Finnhub,2025-05-22 10:25:22,US expected to support Republican states' argument in BlackRock climate case,neutral,0.6149524450302124,2025-05-27
AT&T Buys Lumen’s Consumer Fiber Business for $5.75 Billion,Yahoo,2025-05-22 09:00:02,AT&T Buys Lumen’s Consumer Fiber Business for $5.75 Billion,neutral,0.9252374768257141,2025-05-27
BlackRock® Canada Announces Final May Cash Distributions for the iShares® Premium Money Market ETF,Yahoo,2025-05-21 22:53:00,BlackRock® Canada Announces Final May Cash Distributions for the iShares® Premium Money Market ETF,neutral,0.925858736038208,2025-05-27
Why Bitcoin Surged to an All-Time High on Wednesday,Yahoo,2025-05-21 19:42:47,Why Bitcoin Surged to an All-Time High on Wednesday,positive,0.5816243886947632,2025-05-27
Elliott Set to Win Two Phillips 66 Board Seats in Proxy Fight,Yahoo,2025-05-21 17:26:29,Elliott Set to Win Two Phillips 66 Board Seats in Proxy Fight,neutral,0.8631538152694702,2025-05-27
BlackRock Inc. stock underperforms Wednesday when compared to competitors,MarketWatch,2025-05-21 16:36:00,BlackRock Inc. stock underperforms Wednesday when compared to competitors,negative,0.9496303200721741,2025-05-27
BlackRock Adds to AI-Stocks Bet in $160 Billion Model Portfolios,Yahoo,2025-05-21 16:04:57,BlackRock Adds to AI-Stocks Bet in $160 Billion Model Portfolios,neutral,0.8265824317932129,2025-05-27
"Alumis Inc. completed the acquisition of Acelyrin, Inc. from group of shareholders.",Finnhub,2025-05-21 12:40:30,"Alumis Inc. completed the acquisition of Acelyrin, Inc. from group of shareholders.",neutral,0.7767452597618103,2025-05-27
BlackRock Introduces Actively-Managed Defense ETF Focused on Global Security and Resilience,Yahoo,2025-05-21 12:30:00,BlackRock Introduces Actively-Managed Defense ETF Focused on Global Security and Resilience,neutral,0.7712751030921936,2025-05-27
Is MDCMX a Strong Bond Fund Right Now?,Yahoo,2025-05-21 11:00:02,Is MDCMX a Strong Bond Fund Right Now?,neutral,0.7138351202011108,2025-05-27
"P10, Inc. Q1 Earnings: Small Alternative Investments Manager Getting Started",SeekingAlpha,2025-05-21 09:23:54,"P10, Inc. Q1 Earnings: Small Alternative Investments Manager Getting Started",neutral,0.6430436968803406,2025-05-27
Loeb's Third Point Investors to become holding company with acquisition,Finnhub,2025-05-21 02:01:24,Loeb's Third Point Investors to become holding company with acquisition,neutral,0.7721620798110962,2025-05-27
"El Puerto de Liverpool, S.A.B. de C.V. (BMV: LIVEPOL C-1) and The Vanguard Group, Inc., BlackRock, Inc, Estate Of Bruce A. Nordstrom, Erik B. Nordstrom, Peter E. Nordstrom, James F. Nordstrom and other members of the Nordstrom family completed the acquisition of 59.5% stake in Nordstrom, Inc..",Finnhub,2025-05-20 16:56:54,"El Puerto de Liverpool, S.A.B. de C.V. (BMV: LIVEPOL C-1) and The Vanguard Group, Inc., BlackRock, Inc, Estate Of Bruce A. Nordstrom, Erik B. Nordstrom, Peter E. Nordstrom, James F. Nordstrom and other members of the Nordstrom family completed the acquisition of 59.5% stake in Nordstrom, Inc..",neutral,0.9233981966972351,2025-05-27
Blackrock's Long Position In H-Shares Of Great Wall Motor Increases To 6.40% - HKEX,Finnhub,2025-05-20 10:57:07,Blackrock's Long Position In H-Shares Of Great Wall Motor Increases To 6.40% - HKEX,positive,0.949195146560669,2025-05-27
Blackrock's Long Position In H-Shares Of CMOC Group Increases To 9.06% - HKEX,Finnhub,2025-05-20 10:54:15,Blackrock's Long Position In H-Shares Of CMOC Group Increases To 9.06% - HKEX,positive,0.9496423602104187,2025-05-27
If I Could Only Buy 2 Dividend Stocks Right Now (May 2025 Edition),SeekingAlpha,2025-05-20 07:30:00,If I Could Only Buy 2 Dividend Stocks Right Now (May 2025 Edition),neutral,0.944006621837616,2025-05-27
JPMorgan Wants to Be Go-To Banker for Carbon Markets as It Forges a New Deal,MarketWatch,2025-05-20 07:00:00,JPMorgan Wants to Be Go-To Banker for Carbon Markets as It Forges a New Deal,neutral,0.7962343692779541,2025-05-27
